ST_ID,LATITUDE,LONGITUDE,NAME,OSM_ID
258.0,51.9333,47.9288,Юльевка,10678830520.0
260.0,51.9411,48.5002,Иргиз,10678763861.0
261.0,51.4564,45.9578,Князевка,2135368890.0
263.0,51.4249,45.9702,Правобережный,1832010365.0
264.0,51.4085,46.015,Сазанка,2014361427.0
266.0,51.4095,46.0819,Анисовка,4074554087.0
270.0,51.4637,46.1098,3 км,664042926.0
276.0,51.4858,46.1006,Покровск,611595013.0
278.0,51.4858,46.1006,Покровск,611595013.0
280.0,51.338,46.4408,Безымянная,2133865626.0
282.0,51.3034,46.6098,Титоренко,912370477.0
284.0,51.2819,46.7889,Золотая Степь,5071888771.0
286.0,51.2365,46.977,Урбах,4072002009.0
290.0,51.0283,47.0089,Лозиновский,912370441.0
291.0,50.9566,46.9758,Красный Кут,4074554100.0
292.0,50.8029,47.0864,Тимофеево,653851408.0
293.0,50.6161,47.4308,Питерка,2142326453.0
295.0,50.4234,48.1326,Новоузенск,912370379.0
297.0,50.1338,48.5358,Александров Гай,912370473.0
298.0,51.2409,47.5097,Мокроус,4072002003.0
299.0,51.2924,47.7786,Плес,253739581.0
301.0,51.3479,48.277,Ершов,300582144.0
302.0,51.4154,48.3596,11 км,914747203.0
303.0,51.5127,48.4382,22 км,300697018.0
305.0,51.3173,48.526,Мавринка,2340898338.0
307.0,51.6447,48.1219,Кушумская,914747109.0
308.0,51.663,48.6484,47 км,914747148.0
310.0,51.5776,48.5351,Римско-Корсаковка,300696967.0
311.0,51.8135,48.7209,Рукополь,300696833.0
312.0,51.9094,48.7854,82 км,914747100.0
315.0,52.0155,48.7939,Пугачёвск,1360094062.0
316.0,52.1582,49.0054,Большая Таволожка,909868501.0
318.0,52.1178,49.2099,Порубежка,5945192697.0
319.0,52.0155,48.7939,Пугачёвск,1360094062.0
320.0,52.3007,49.0752,Тополёк,909868420.0
324.0,52.0957,49.5165,Клевенка,914747190.0
325.0,51.9725,49.9564,Новоперелюбская,2341114076.0
326.0,51.2414,48.7568,Алтата,4072001995.0
327.0,51.2429,48.9551,Новоросляевский,914747002.0
328.0,51.2018,49.1232,Демьяс,300586321.0
330.0,51.2047,49.4534,Чалыкла,914746995.0
334.0,51.1945,49.7356,Озинки,4072002004.0
335.0,51.1945,49.7356,Озинки,4072002004.0
336.0,53.1261,44.9616,Кривозёровка,8939792858.0
337.0,53.2043,45.0122,Пенза-1,7294182673.0
339.0,53.216,44.8857,Арбеково,371321111.0
340.0,53.2066,45.0423,Пенза-2,8939786063.0
341.0,53.2176,45.0157,Пенза-4,2557944182.0
343.0,53.2581,44.7863,Пяша,614371596.0
344.0,53.3041,45.0421,Бессоновка,1307946282.0
346.0,53.379,45.0703,Грабово,349110839.0
355.0,53.6171,45.1087,Гольцовка,1307946151.0
357.0,53.6518,44.9427,Танеевка,412566107.0
359.0,53.7579,44.9818,Анучино,3038425487.0
361.0,53.8816,44.997,Булычево,412566247.0
364.0,53.7448,40.4271,Кензино,1911107199.0
366.0,53.7484,40.2557,Еголдаево,209477356.0
370.0,53.6888,40.7281,Желобово,340075954.0
371.0,53.7086,40.9891,Вёрда,1236953773.0
373.0,53.6418,41.1207,Ремизово,854686982.0
374.0,53.6039,41.2236,Муравлянка,1236953764.0
375.0,53.5057464,41.4285911,Хлудово,1236953892.0
377.0,53.5103,41.5559,Ракша,3780929816.0
378.0,53.4686,41.6608,Базево,3780921926.0
379.0,53.4415,41.7658,Моршанск,1430323125.0
383.0,53.4590789,41.848043,Коршуновка,1430323124.0
386.0,53.3977,42.1796,Фитингоф,209161486.0
388.0,53.307,42.3846,Вернадовка,1430323123.0
393.0,53.6523,42.4145,Пашково,2005482669.0
394.0,53.7352,42.3188,Морсово,11274836387.0
395.0,53.2316,42.6623,Соседка,209160707.0
397.0,53.2026,42.908,Кандиевка,209160192.0
398.0,53.2124,43.0353,Башмаково,209159720.0
399.0,53.2451,43.1667,Глебовка,209159660.0
401.0,53.3307,43.3202,Пачелма,11232659196.0
403.0,53.312,43.4988,Выглядовка,1082944739.0
410.0,53.5176,43.6777,Нижний Ломов,6841410054.0
411.0,53.274,43.669,Титово,1082945224.0
416.0,53.1788,44.0302,Белинская,2898043303.0
418.0,53.1533,44.2786,Студенец,208731791.0
420.0,53.276,44.4701,Симанщина,208748321.0
422.0,53.277,44.7107,Рамзай,208928479.0
423.0,53.2044,45.197,Селикса,2060620707.0
428.0,53.1056,45.5818,Канаевка,8945242541.0
429.0,53.1085,45.6892,Асеевская,913847386.0
431.0,53.1404,45.9193,Чаадаевка,1417448454.0
433.0,53.1504,46.0093,Кадада,1417448446.0
435.0,53.1401,46.2335,Сюзюм,300143059.0
438.0,53.1117,46.6003,Кузнецк,300143031.0
440.0,53.1063,46.8367,Евлашево,2011491577.0
442.0,53.1512,47.0529,Никулино,300144255.0
444.0,53.124,47.2067,Ключики,2626031788.0
450.0,53.1536,47.7501,Новоспасское,8337646257.0
451.0,53.1669,47.8727,Коптевка,5060496327.0
456.0,53.1701,48.1333,Репьёвка,9024411760.0
460.0,53.1611,48.3586,Новообразцовое,1050325115.0
461.0,53.1673,48.4381,Сызрань-2,1050324848.0
469.0,52.914,48.3105,Рябина,206024950.0
477.0,53.0629,48.4092,Кашпир,1055349276.0
480.0,53.1502,48.4749,Сызрань-Город,4074554107.0
482.0,53.265737,49.1407282,Переволоки,206028472.0
486.0,53.3519,49.4804,Отвага,258050799.0
488.0,53.3974,49.5145,Жигулёвск,728305104.0
490.0,53.4776,49.5247,Жигулёвское Море,2016132280.0
491.0,53.4731,49.6237,Канал,728263147.0
494.0,53.4776,49.5248,Жигулёвское Море,2016132280.0
495.0,53.5279,49.4795,Химическая,1492699613.0
499.0,53.5661,49.2953,Тольятти,1039817178.0
500.0,53.48178101,49.85723495,Задельная,674506098.0
501.0,53.475,49.9678,Мастрюково,206031229.0
502.0,53.4602,50.077,Курумоч,4899809917.0
504.0,53.5092783,50.1404362,Аэропорт Курумоч,596477731.0
507.0,53.4199,50.196,Царевщина,2021963817.0
511.0,53.3718,50.341,Водинская,2014395312.0
515.0,53.3021,50.3017,Козелковская,1621427484.0
519.0,53.2339,50.2886,Средневолжская,2010191019.0
520.0,53.1613,48.6682,Октябрьск,206026852.0
523.0,53.1837,48.7854,Правая Волга,206027555.0
525.0,53.1142,48.8762,Обшаровка,730532737.0
527.0,53.0488,49.0825,Мыльная,730546528.0
530.0,52.9787,49.4316,Безенчук,4076132469.0
532.0,52.9563,49.6154,Звезда,4070857533.0
534.0,52.6655,49.318,Чагра,909868524.0
535.0,52.9773,49.7028,Чапаевск,4074554081.0
536.0,53.0156,49.7429,Томылово,469174694.0
539.0,53.0701,49.8423,Жигули,417949757.0
541.0,53.1152,49.8976,Новокуйбышевская,413706971.0
543.0,53.1015,49.985,Липяги,8940045176.0
546.0,53.1221,50.0783,Кряж,2008072022.0
548.0,54.0558,44.9493,Рузаевка,2808969174.0
554.0,54.2052835,42.4564729,Пичкиряево,2128097312.0
555.0,54.1565,42.5829,Вад,2016683762.0
556.0,54.1115,42.703,Тёплый Стан,1213245825.0
557.0,54.0817,42.8373,Зубова Поляна,6486473686.0
558.0,54.1142,42.9047,Потьма,6479088781.0
561.0,54.0724,43.2413,Торбеево,986213658.0
565.0,54.0081809,43.6434121,Самаевка,2088673972.0
567.0,54.0184,43.8243,Запищиково,300116906.0
568.0,54.0409,43.9152,Ковылкино,4070857535.0
572.0,54.0954,44.114,Токмово,3779242558.0
578.0,54.0218,44.4183,Кадошкино,3991184646.0
580.0,54.0721865,44.5987985,Хованщина,2088703743.0
589.0,54.0715,45.0771,Новые Полянки,2012751840.0
593.0,54.129,45.1389,Ялга,9023103016.0
595.0,54.1957,45.1915,Саранск-1,9023102535.0
602.0,53.9497,45.3755,Воеводское,3428102011.0
609.0,53.8887,45.7519,Сура,1223264003.0
611.0,53.8759,45.9056,Чаис,300140351.0
614.0,53.8822,46.1045,Ночка,6486473184.0
616.0,53.8725,46.2311,Свет,3428104060.0
617.0,53.8556,46.3529,Инза,4070857534.0
626.0,53.7448,46.7564,Базарная,2337916398.0
628.0,53.6752,46.8305,Патрикеево,5220264355.0
633.0,53.6552,47.1061,Барыш,3991184631.0
637.0,53.6109,47.3684,Поливаново,1455006194.0
638.0,53.5594,47.4872,Налейка,1455006192.0
640.0,53.5481,47.686,Кузоватово,3991184648.0
642.0,53.4978,47.9322,Безводовка,2424480213.0
645.0,53.3859,48.0176,Рачейка,206023746.0
